Pattern,Scores
01G,0
02G,0
03G,0
04G,1
05G,0
06G,0
07G,1
08G,2
09G,3
10G,3
11G,2
12G,3
13G,3
14G,3
15G,4
16G,1
17G,0
18G,0
19G,1
20G,0
21G,2
22G,0
23G,2
24G,3
25G,1
26G,2
27G,3
28G,4
29G,5
30G,5
