Pattern,Scores
01G,2.0
02G,0.0
03G,1.0
04G,5.0
05G,3.0
06G,4.0
07G,6.0
08G,8.0
09G,7.0
10G,8.0
11G,9.0
12G,8.0
13G,11.0
14G,12.0
15G,13.0
16G,5.0
17G,1.0
18G,4.0
19G,5.0
20G,3.0
21G,6.0
22G,5.0
23G,7.0
24G,8.0
25G,8.0
26G,10.0
27G,9.0
28G,13.0
29G,13.0
30G,14.0
